01/09/22 7:11 PM,Pasta with veggies,400,
01/09/22 7:11 PM,Ragi chips,420,
01/09/22 7:11 PM,Homemade meal,520,
01/09/22 7:11 PM,Brooklyn ice cream,160,
01/09/22 7:12 PM,Coffee half mug with stevia,80,
01/09/22 8:54 PM,Homemade meal with rice,620,
1/10/22 8:23 AM,Coffee with milk stevia oats 5 almonds,300,
1/10/22 2:29 PM,Dominos small pizza,700,
1/10/22 2:29 PM,Dominos garlic bread,350,
1/10/22 3:18 PM,Coffee half mug with glucose,180,
1/10/22 9:20 PM,Paneer sabzi ordered half,450,
1/10/22 9:20 PM,Dal rice less than usual,350,
1/11/22 3:28 PM,Coffee with milk stevia oats 5 almonds 10 raisins,320,
1/11/22 3:28 PM,Coffee with milk stevia oats 5 almonds 10 raisins,320,
1/11/22 3:30 PM,Pav bhaji homemade,500,
1/11/22 3:32 PM,Papaya one serving,50,
1/11/22 3:33 PM,Pomegranate one small serving,50,
1/11/22 3:34 PM,Almonds 5,30,
1/11/22 3:35 PM,Peanuts 8,40,
1/11/22 8:49 PM,Peppy 35 g,180,
1/11/22 8:49 PM,Pav bhaji homemade,500,
1/11/22 8:51 PM,One carrot half cucumber,40,
1/12/22 5:16 PM,Coffee with milk stevia oats 5 almonds 10 raisins,320,
1/12/22 5:16 PM,One carrot,25,
1/12/22 5:16 PM,Papaya one serving,50,
1/12/22 5:17 PM,Banana one,100,
1/12/22 5:17 PM,Almonds 5,30,
1/12/22 5:17 PM,Peanuts 8,40,
1/12/22 5:18 PM,Homemade meal with rice (more than usual),650,
1/12/22 5:18 PM,Coffee half mug with glucose,180,
1/12/22 11:13 PM,Chole Eatfit,606,
1/12/22 11:14 PM,Methi rotis Eatfit 3,228,
1/13/22 12:01 AM,Cabbage paneer parantha homemade 1,170,
1/13/22 2:45 PM,Coffee with milk stevia oats 5 almonds 10 raisins,320,
1/13/22 2:56 PM,Banana chips 85g,450,
1/13/22 2:57 PM,Cabbage paneer paranthas homemade with dal 3,600,
1/13/22 11:58 PM,Pasta with veggies,400,
1/13/22 11:58 PM,Coffee half mug with glucose,180,
1/14/22 1:36 PM,Bread slices 4,220,
1/14/22 1:36 PM,Tomato ketchup 4 tbsp,50,
1/14/22 1:37 PM,Tamarind sauce 1 tbsp,30,
1/14/22 1:37 PM,Coffee half mug with stevia,80,
1/14/22 2:14 PM,Bread slices 2 with ketchup,130,
1/14/22 2:15 PM,Homemade meal,520,
1/14/22 2:22 PM,Roasted chana dal green chilli badam snack,110,
1/14/22 8:20 PM,Momos ordered 6,250,
1/14/22 8:22 PM,One bowl of sabzi less than usual,200,
1/14/22 9:08 PM,Coffee with milk one spoon honey oats 5 almonds,360,
1/15/22 3:12 PM,Pasta with veggies no tomato but mushrooms and soya chunks,450,
1/15/22 3:12 PM,Coffee half mug with stevia,80,
1/15/22 3:14 PM,Banana one,100,
1/15/22 3:16 PM,Pineapple 130 g,70,
1/15/22 3:17 PM,Grapes one portion,60,
1/15/22 3:45 PM,Homemade meal,520,
1/15/22 10:40 PM,Coffee half mug with honey,140,
1/15/22 10:40 PM,Coffee half mug with honey,140,
1/15/22 10:48 PM,Khata mag one bowl,320,
1/15/22 10:49 PM,Dahi bhalla ordered,200,
1/15/22 10:56 PM,Chole kachori chat ordered,450,
1/16/22 2:06 PM,Pasta with veggies,400,
1/16/22 2:06 PM,Coffee half mug with stevia,80,
1/16/22 2:07 PM,Pineapple 70g,30,
1/16/22 2:07 PM,Banana one,100,
1/16/22 2:07 PM,Grapes one portion,60,
1/16/22 2:34 PM,Homemade meal,520,
1/16/22 2:34 PM,Coffee half mug no sweetener,80,
1/16/22 2:35 PM,Glucose one spoon,50,
1/16/22 9:27 PM,Masala dosa ordered,900,
1/17/22 11:52 PM,Coffee with milk stevia oats 10 raisins,290,
1/17/22 11:52 PM,Coffee half mug with glucose,180,
1/17/22 11:53 PM,Homemade meal,520,
1/17/22 11:53 PM,Homemade meal,520,
1/17/22 11:53 PM,One carrot half cucumber,40,
1/18/22 3:20 PM,Coffee with milk stevia oats 5 almonds,300,
1/18/22 3:20 PM,Homemade meal,520,
1/18/22 3:20 PM,Coffee half mug with glucose,180,
1/18/22 8:52 PM,Coffee with milk one spoon honey oats 5 almonds 10 raisins,380,
1/18/22 8:54 PM,Homemade meal with a little extra gravy,550,
1/19/22 4:40 PM,Coffee with milk stevia oats 5 almonds,300,
1/19/22 4:41 PM,Coffee half mug with glucose,180,
1/19/22 4:41 PM,Homemade meal,520,
1/19/22 10:31 PM,Ragda homemade one bowl,250,
1/19/22 10:31 PM,Ragda homemade extra portion,50,
1/19/22 10:31 PM,Thai noodles in peanut sauce,600,
1/20/22 1:20 AM,Almonds 5,30,
1/20/22 3:31 PM,Coffee with milk stevia oats 5 almonds,300,
1/20/22 3:31 PM,Homemade meal,520,
1/20/22 3:31 PM,Coffee half mug with stevia,80,
1/20/22 8:31 PM,Small pizza,700,
1/20/22 8:33 PM,Half garlic bread,175,
1/20/22 9:01 PM,Coffee half mug with glucose,180,
1/20/22 9:01 PM,Banana one,100,
1/20/22 9:02 PM,Grapes one portion,60,
1/20/22 9:02 PM,Papaya one serving,50,
1/21/22 3:05 PM,Coffee with milk stevia oats 5 almonds,300,
1/21/22 3:07 PM,Homemade meal,520,
1/21/22 3:34 PM,Whyfryy popped chips,150,
1/21/22 3:34 PM,Banana one,100,
1/21/22 3:34 PM,Coffee half mug with glucose,180,
1/21/22 3:35 PM,Almonds 5,30,
1/21/22 8:52 PM,Thali North Indian ordered with extra tandoori roti,900,
1/21/22 8:53 PM,Almonds 6,40,
1/21/22 9:19 PM,Chocofils biscuit,50,
1/22/22 1:36 PM,Pasta with veggies,400,
1/22/22 1:37 PM,Coffee half mug with stevia,80,
1/22/22 2:43 PM,Freshmenu chilli paneer superbowl,360,
1/22/22 2:44 PM,Coffee with milk glucose oats 5 almonds,400,
1/22/22 3:06 PM,Very small garlic bread portion,50,
